-------------------------------------------------------------------------------------------------------------------------------------------------------------
|         ID         |                          EAT_ActivityType                           |     EAT_ActivityCode      |            EAT_Comments            |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                  2 | Emergency action plan/evacuation procedures                         | OSHA                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                  3 | Risk assessment                                                     | OSHA                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                  4 | Bus tag out/lock out policy                                         | OSHA                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                  5 | Facility lock out/tag out policy                                    | OSHA                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                  6 | Safe lifting                                                        | OSHA                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                  7 | Vehicle lifts and support stands                                    | OSHA                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                  8 | Electrical safety                                                   | OSHA                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                  9 | Forklift safety                                                     | OSHA                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 10 | Slips, trips and falls                                              | OSHA                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 11 | Personal protective equipment/hi-visibility vests                   | OSHA                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 12 | Bloodborne pathogens                                                | OSHA                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 13 | Machine Guarding                                                    | OSHA                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 14 | General shop safety/vehicle backing                                 | OSHA                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 15 | Ladder safety                                                       | OSHA                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 16 | Fire safety                                                         | OSHA                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 17 | GHS-Safety data sheets/HMIS Hazardous Comm Program                  | OSHA                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 18 | Spill prevention controls and countermeasures                       | OSHA                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 19 | Electrical Diagnostics                                              | TECH                      | Bjorge/Energy Transfer Training    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 20 | Advanced Electrical Diagnostics                                     | TECH                      | Bjorge/Energy Transfer Training    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 21 | Electronics and Schematics                                          | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 22 | Multiplexing and Advanced Troubleshooting                           | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 23 | Air Brakes/Relines                                                  | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 24 | Foundation Air Brakes, ABS & Air Supply System                      | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 25 | Undercarriage Steering and Suspension                               | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 26 | Fixed Route PMI Program                                             | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 27 | Front End Alignment                                                 | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 28 | Cummins Diagnostics                                                 | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 29 | Engine Control Systems                                              | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 30 | CNG Maintenance and Repair                                          | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 31 | Preparation for Fuel System Certification                           | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 32 | Transmission Maintenance and Service                                | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 33 | Wheelchair lift Maintenance and Repair                              | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 34 | A/C System Maintenance and Repair                                   | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 35 | EPA-608 Certification Program                                       | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 36 | EPA-609 Certification Program                                       | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 37 | Cummins Engine Tune Up                                              | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 38 | Artic Joint Maintenance                                             | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 39 | Cooling System Diagnostics                                          | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 40 | Foundation Air Brakes, Air Supply System                            | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 41 | GI & Service                                                        | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 42 | VANSCO Electrical Class I                                           | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 43 | VANSCO Electrical Class II                                          | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 44 | ACCESSORIES Doors/Ramps                                             | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 45 | Hydraulic Systems                                                   | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 46 | NICE PM Inspection                                                  | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 47 | Electronics and Reading Schematics                                  | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 48 | Diesel Engine Maintenance and Repair                                | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 49 | Diesel Engine Controls Manufacture Specific                         | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 50 | Diesel Emission Aftertreatment Systems                              | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 51 | Brakes                                                              | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 52 | Brakes/Doors                                                        | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 54 | Transmission Overview                                               | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 55 | Fluid Power Certification                                           | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 56 | AC Mainten-ance, Repair, 609 Certification                          | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 57 | Welding 1                                                           | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 58 | Cummins QSOL/EDS                                                    | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 59 | New Flyer GI/PMI                                                    | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 60 | New Flyer Vansco Multiplex                                          | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 61 | New Flyer Doors and Ramps                                           | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 62 | New Flyer Body/Glass                                                | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 63 | New Flyer Brakes I                                                  | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 64 | New Flyer Artic GI & PMI                                            | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 65 | New Flyer Artic I, II, and III                                      | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 66 | 2016 New Flyer Coolant Systems                                      | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 67 | New Flyer Brakes & Axles                                            | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 68 | Allison Transmission diagnostics familiarization                    | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 69 | Ending Door Strikes                                                 | TECH                      |                                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 70 | Timken Wheel Bearings                                               | TECH                      |                                    |
